stem,leader,date,words,wer,mean_logprob,fear,anger,sadness,disgust,anticipation,trust,joy,surprise,positive,negative,net,nearest_event,outcome
1939-10-01_Churchill_01,Churchill,1939-10-01,558,,-0.218,26.9,14.3,14.3,10.8,25.1,34.1,14.3,9.0,44.8,43.0,1.8,Britain and France declare war on Germany,context
1939-10-01_Churchill_02,Churchill,1939-10-01,538,,-0.133,31.6,20.4,16.7,13.0,29.7,37.2,16.7,9.3,50.2,46.5,3.7,Britain and France declare war on Germany,context
1939-11-12_Churchill_03,Churchill,1939-11-12,1009,,-0.127,48.6,26.8,17.8,7.9,28.7,28.7,12.9,6.9,50.5,55.5,-5.0,Britain and France declare war on Germany,context
1939-11-12_Churchill_04,Churchill,1939-11-12,973,,-0.113,48.3,27.7,17.5,7.2,24.7,29.8,10.3,6.2,50.4,55.5,-5.1,Britain and France declare war on Germany,context
1939-12-18_Churchill_05,Churchill,1939-12-18,577,,-0.162,38.1,34.7,22.5,8.7,26.0,45.1,12.1,10.4,52.0,53.7,-1.7,Britain and France declare war on Germany,context
1939-12-18_Churchill_06,Churchill,1939-12-18,594,,-0.141,40.4,33.7,21.9,8.4,25.3,43.8,11.8,10.1,52.2,53.9,-1.7,Britain and France declare war on Germany,context
1940-01-20_Churchill_07,Churchill,1940-01-20,1390,,-0.163,46.0,36.7,23.7,15.8,26.6,45.3,23.0,15.1,57.6,66.2,-8.6,Germany invades Denmark and Norway,defeat
1940-02-23_Churchill_08,Churchill,1940-02-23,277,,-0.26,32.5,25.3,28.9,18.1,32.5,54.2,39.7,18.1,75.8,46.9,28.9,Germany invades Denmark and Norway,defeat
1940-02-23_Churchill_09,Churchill,1940-02-23,303,,-0.189,29.7,19.8,29.7,16.5,26.4,52.8,36.3,13.2,75.9,46.2,29.7,Germany invades Denmark and Norway,defeat
1940-03-12_Churchill_10,Churchill,1940-03-12,1262,,-0.162,24.6,20.6,11.1,4.0,26.1,26.1,11.9,11.9,50.7,38.8,11.9,Germany invades Denmark and Norway,defeat
1940-03-30_Churchill_11,Churchill,1940-03-30,794,,-0.17,49.1,31.5,23.9,11.3,30.2,37.8,17.6,17.6,47.9,56.7,-8.8,Germany invades Denmark and Norway,defeat
1940-04-01_Churchill_12,Churchill,1940-04-01,89,,-0.352,78.7,56.2,44.9,33.7,22.5,56.2,22.5,22.5,78.7,112.4,-33.7,Germany invades Denmark and Norway,defeat
1940-04-01_Churchill_13,Churchill,1940-04-01,656,,-0.195,38.1,35.1,22.9,4.6,33.5,41.2,19.8,15.2,73.2,61.0,12.2,Germany invades Denmark and Norway,defeat
1940-05-01_Churchill_14,Churchill,1940-05-01,3431,,-0.204,31.2,16.0,16.0,5.0,26.8,48.7,14.0,8.2,68.2,40.2,28.0,Germany invades France and the Low Countries,defeat
1940-05-13_Churchill_15,Churchill,1940-05-13,715,,-0.167,21.0,11.2,8.4,2.8,30.8,46.2,16.8,11.2,62.9,32.2,30.7,Germany invades France and the Low Countries,defeat
1940-05-13_Churchill_16,Churchill,1940-05-13,682,,-0.097,17.6,11.7,8.8,1.5,30.8,46.9,16.1,11.7,63.0,29.3,33.7,Germany invades France and the Low Countries,defeat
1940-05-19_Churchill_17,Churchill,1940-05-19,452,0.674,-0.122,39.8,22.1,22.1,6.6,26.5,39.8,17.7,11.1,48.7,48.7,0.0,Germany invades France and the Low Countries,defeat
1940-05-19_Churchill_18,Churchill,1940-05-19,1367,0.068,-0.274,52.7,46.1,22.7,10.2,19.8,37.3,17.6,13.2,62.2,64.4,-2.2,Germany invades France and the Low Countries,defeat
1940-05-19_Churchill_19,Churchill,1940-05-19,1434,0.994,-0.155,41.8,27.9,25.1,7.0,20.2,28.6,9.8,10.5,43.9,56.5,-12.6,Germany invades France and the Low Countries,defeat
1940-05-26_FDR_20,FDR,1940-05-26,3746,0.038,-0.113,36.6,24.3,16.6,5.6,29.6,41.4,19.2,14.1,64.6,42.2,22.4,Dunkirk evacuation completed,mixed
1940-05-28_Churchill_21,Churchill,1940-05-28,343,,-0.152,58.3,26.2,26.2,11.7,37.9,37.9,11.7,14.6,52.5,64.1,-11.6,Dunkirk evacuation completed,mixed
1940-06-01_Churchill_22,Churchill,1940-06-01,1739,0.917,-0.185,39.1,31.6,19.0,8.1,25.9,35.1,12.1,12.1,58.1,46.6,11.5,Dunkirk evacuation completed,mixed
1940-06-04_Churchill_23,Churchill,1940-06-04,1519,0.627,-0.134,46.1,29.6,21.1,10.5,29.0,34.9,18.4,12.5,61.9,53.3,8.6,Dunkirk evacuation completed,mixed
1940-06-17_Churchill_24,Churchill,1940-06-17,3573,0.563,-0.415,36.1,29.4,12.6,9.0,28.8,31.3,14.0,11.8,49.0,46.7,2.3,France signs armistice with Germany,defeat
1940-06-19_Churchill_25,Churchill,1940-06-19,1847,0.727,-0.272,34.7,35.7,15.2,7.6,26.5,28.2,13.5,9.7,49.3,46.6,2.7,France signs armistice with Germany,defeat
1940-07-14_Churchill_26,Churchill,1940-07-14,2242,,-0.124,38.8,28.1,19.6,9.4,27.7,31.7,12.5,7.6,58.4,50.0,8.4,France signs armistice with Germany,defeat
1940-07-14_Churchill_27,Churchill,1940-07-14,2094,,-0.141,35.3,25.8,17.2,11.5,33.0,39.2,18.1,11.0,58.3,45.4,12.9,France signs armistice with Germany,defeat
1940-08-20_Churchill_28,Churchill,1940-08-20,1442,0.727,-0.116,48.5,34.7,28.4,15.3,23.6,32.6,16.6,13.9,51.3,58.9,-7.6,The Blitz begins over London,defeat
1940-09-11_Churchill_29,Churchill,1940-09-11,2134,,-0.099,44.5,32.8,23.4,13.1,28.1,30.5,18.7,14.5,53.4,54.8,-1.4,The Blitz begins over London,defeat
1940-09-15_Churchill_30,Churchill,1940-09-15,1702,,-0.186,29.4,27.6,14.7,7.1,20.0,26.4,9.4,6.5,49.4,44.7,4.7,The Blitz begins over London,defeat
1940-09-17_Churchill_31,Churchill,1940-09-17,2208,,-0.191,34.0,22.2,21.7,7.7,28.5,37.6,15.4,11.3,48.5,46.6,1.9,The Blitz begins over London,defeat
